1	8	8	1	1	1	1	1	5	8	8	8	1	1	5	5	5	5	5	5	5	33	33	33	33	33	33	32	32	8	5	5	5	33	32	33	33	33	9	33	15	15	33	9	33	9	32	33	9	33
1	8	8	1	8	1	1	5	5	1	5	8	1	1	5	5	5	1	1	5	8	8	5	5	5	9	9	5	5	5	5	5	5	5	8	33	33	33	45	33	33	33	32	33	32	33	33	33	33	33
8	8	1	1	1	1	8	1	8	1	1	1	1	5	1	1	5	5	5	5	8	8	5	5	5	5	5	5	1	5	5	5	5	5	8	33	33	33	33	33	33	33	33	8	1	33	33	33	33	33
5	1	1	1	1	1	1	5	5	1	1	5	1	1	1	1	1	5	1	5	5	8	5	5	5	5	5	1	1	5	1	1	5	1	32	32	15	33	33	33	33	33	33	5	5	15	32	33	32	9
8	5	1	1	1	1	1	1	1	5	5	5	5	5	1	1	1	5	5	8	5	5	5	1	1	1	1	1	1	1	1	1	33	32	33	33	33	33	5	5	32	33	33	33	33	15	32	33	33	33
20	8	8	1	1	1	1	5	5	5	1	1	5	1	1	1	5	1	1	5	5	5	5	5	1	1	5	5	8	8	1	1	33	33	33	33	33	9	5	5	5	33	9	32	33	33	33	33	9	9
20	20	8	1	1	1	1	1	1	5	5	1	5	5	5	1	1	1	1	1	1	1	1	1	1	5	5	33	33	8	33	32	33	33	33	9	9	9	5	32	5	5	9	33	33	33	33	33	33	33
20	20	20	8	8	1	1	1	1	1	5	5	5	5	5	1	1	1	1	1	1	5	5	5	5	5	8	33	8	33	33	33	33	33	33	33	33	15	9	8	33	33	32	32	5	8	33	33	33	33
20	20	20	8	8	8	1	1	1	5	5	5	5	5	5	1	5	1	1	5	5	5	1	8	5	8	33	9	9	33	33	33	33	33	33	33	33	33	33	33	15	32	32	33	33	33	33	33	33	33
20	20	20	8	8	8	1	1	1	5	5	5	5	5	5	5	5	1	5	5	5	5	33	8	8	8	33	32	35	33	33	33	33	9	33	15	15	33	9	9	32	8	33	33	33	33	32	33	33	33
45	20	20	20	5	8	1	1	1	5	5	5	1	8	5	5	5	1	5	5	1	1	32	9	33	8	8	8	33	33	33	33	33	33	9	9	32	32	32	32	33	33	33	33	33	33	33	33	32	32
20	20	5	1	8	8	1	1	1	5	5	5	20	8	5	5	5	5	8	5	1	5	32	9	8	33	32	32	33	33	33	32	9	33	9	33	32	33	33	33	33	45	45	33	33	33	33	33	33	33
20	20	8	8	8	8	8	8	5	5	5	5	20	8	5	5	5	5	5	5	1	8	32	33	33	33	32	33	33	33	32	5	5	33	33	33	33	33	33	33	33	45	45	33	33	33	33	33	33	33
20	20	20	5	8	5	8	8	5	5	5	5	5	5	5	5	5	5	5	5	1	8	33	33	32	33	33	8	9	33	32	33	33	33	33	33	33	33	33	32	33	33	33	33	33	33	33	33	33	33
20	20	20	5	20	5	5	20	20	8	5	8	8	5	8	5	5	5	5	5	5	8	33	32	32	9	9	9	5	8	33	9	32	33	33	33	33	33	33	33	33	33	33	33	32	32	32	32	33	33
20	8	20	5	5	5	20	5	5	20	5	5	8	8	8	20	5	5	5	5	8	33	33	33	9	8	8	8	5	32	33	32	33	9	33	15	15	33	33	33	33	33	33	33	33	33	33	33	33	33
20	20	32	5	20	20	5	20	5	5	5	20	8	5	5	8	5	5	1	5	5	9	9	9	8	8	9	9	1	1	8	33	32	32	33	15	15	15	9	33	33	33	33	33	33	33	33	9	33	33
20	20	33	20	20	20	20	5	5	5	5	5	8	8	5	5	5	1	1	5	9	33	33	5	5	5	9	33	5	8	5	33	33	33	33	33	33	33	33	33	33	33	33	32	33	33	32	32	33	33
39	33	33	20	20	20	5	5	5	5	5	5	5	20	1	5	5	1	1	5	33	33	5	5	1	5	8	20	8	32	5	9	9	33	33	15	33	15	33	33	33	33	33	33	15	35	33	32	33	9
39	33	33	33	9	5	5	1	5	5	5	5	5	8	5	5	5	5	5	5	5	5	5	1	5	5	5	8	33	32	32	9	33	33	33	33	15	33	33	33	33	33	33	33	33	35	33	32	33	33
39	39	33	8	8	20	20	5	5	5	5	5	5	5	8	1	1	5	5	5	5	5	1	1	5	1	1	5	5	8	9	33	33	33	33	33	33	33	33	33	32	33	33	33	33	15	33	33	33	33
39	32	32	20	33	20	5	5	5	5	5	5	5	5	5	5	5	5	5	8	5	5	1	1	1	1	5	20	8	33	33	33	33	33	33	33	33	33	33	33	32	33	33	33	33	33	33	33	33	33
32	32	32	32	8	5	8	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	5	20	33	1	32	33	33	33	33	33	33	33	33	33	32	33	33	33	32	33	41	33	33	33	33
32	32	32	32	20	5	5	8	1	5	5	5	5	5	5	5	1	5	5	1	1	5	5	1	8	5	8	9	33	33	33	33	33	33	33	33	33	33	32	32	32	32	33	15	35	33	33	33	33	33
32	32	32	32	33	20	5	8	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	5	9	9	9	9	33	33	33	33	33	33	33	33	32	33	41	33	32	33	32	33	33	33	33	33	33
32	32	32	33	20	20	8	20	1	5	5	5	5	5	5	5	5	5	5	1	1	1	1	5	9	9	9	32	33	33	33	32	33	9	33	33	33	33	33	33	33	32	33	33	35	35	33	33	33	33
20	32	32	33	33	33	20	20	8	8	5	5	5	5	5	5	5	1	1	1	1	1	1	33	9	9	8	32	33	33	33	32	33	33	33	33	33	33	32	33	33	32	32	33	41	32	15	33	33	33
0	20	33	33	20	33	20	5	8	8	5	5	5	5	5	5	5	1	1	1	1	1	5	8	33	9	33	33	33	33	33	33	33	33	32	33	33	33	33	33	33	33	33	33	33	33	41	33	33	33
0	20	33	33	20	20	20	8	5	8	5	5	1	5	5	1	5	1	1	1	1	1	1	8	9	8	33	33	33	33	33	33	33	9	9	9	33	32	33	33	33	33	33	35	33	35	33	33	33	33
0	0	20	20	20	20	8	20	8	8	5	5	5	1	1	5	5	5	1	1	1	1	8	9	9	33	33	33	33	33	33	9	9	9	33	9	9	33	41	33	33	33	33	35	35	35	41	32	33	33
0	0	20	33	20	20	20	5	20	5	5	5	5	5	5	5	5	5	5	1	5	8	8	33	33	33	33	33	33	33	33	33	33	32	33	9	9	9	33	33	33	33	33	35	35	35	35	33	33	33
0	0	32	20	33	5	20	1	20	5	5	5	5	5	5	5	5	5	5	5	5	8	33	32	33	33	33	33	33	33	33	33	33	33	33	33	33	9	33	33	33	35	35	33	35	35	35	35	35	35
0	0	0	20	20	5	8	20	20	20	20	8	5	5	5	5	5	5	5	5	5	8	9	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	35	33	35	35	35	35	0	0
0	0	0	20	20	20	8	33	33	20	20	5	5	5	5	5	5	5	5	5	20	33	8	32	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	35	33	35	35	35	0	0	0
